epoch,train_loss,val_dice,dice_overall,dice_NCR,dice_ED,dice_ET,time_sec
1,1.084,0.917,0.5835,0.4753,0.7006,0.5747,589.6
2,1.0473,0.9195,0.6225,0.5302,0.7173,0.6199,574.8
3,1.0308,0.9092,0.6927,0.6699,0.7311,0.6769,574.1
4,1.0184,0.9139,0.5758,0.4942,0.6703,0.563,574.2
5,1.0151,0.9106,0.6751,0.6357,0.7256,0.6639,571.6
6,1.0085,0.9024,0.6766,0.6003,0.7509,0.6785,573.5
7,1.0071,0.9083,0.6861,0.6325,0.7443,0.6815,570.7
8,1.0001,0.905,0.7038,0.6689,0.7389,0.7035,573
9,0.9991,0.9068,0.7263,0.6994,0.7726,0.7069,572.5
10,0.9974,0.9057,0.7082,0.6945,0.7391,0.691,572.6
11,0.9947,0.9049,0.7163,0.672,0.7697,0.7073,572.2
12,0.9938,0.9043,0.718,0.6691,0.7783,0.7066,572.9
13,0.9888,0.9058,0.7343,0.6859,0.7956,0.7213,571.6
14,0.9919,0.905,0.6889,0.6279,0.7613,0.6776,569.8
15,0.9896,0.9055,0.7229,0.6884,0.7745,0.7057,569.8
16,0.9925,0.9077,0.7091,0.6705,0.7543,0.7025,571.4
17,0.9828,0.9026,0.7359,0.71,0.7867,0.7111,569.2
18,0.9883,0.9074,0.6818,0.6136,0.7655,0.6663,570.6
19,0.9855,0.9012,0.7239,0.6904,0.7726,0.7086,572.2
20,0.9826,0.903,0.7374,0.7047,0.7964,0.7111,570.4
21,0.9821,0.902,0.7314,0.6955,0.785,0.7136,567
22,0.98,0.9029,0.716,0.6666,0.7819,0.6995,573.2
23,0.9775,0.9081,0.7359,0.7015,0.8026,0.7037,566.8
24,0.9815,0.9037,0.7158,0.6713,0.7748,0.7014,570.3
25,0.977,0.9025,0.7284,0.6849,0.7853,0.7151,570.3
26,0.9716,0.9022,0.7402,0.7112,0.7929,0.7165,569.9
27,0.9724,0.9039,0.7294,0.7001,0.7808,0.7072,572.9
28,0.97,0.9026,0.7406,0.7103,0.7986,0.713,567
29,0.9702,0.9026,0.7353,0.702,0.793,0.7109,571.7
30,0.9681,0.9014,0.7411,0.7045,0.8012,0.7176,572.4
31,0.9662,0.9008,0.7267,0.6946,0.7851,0.7005,573.5
32,0.9652,0.9033,0.7361,0.7013,0.7896,0.7175,571.7
33,0.9694,0.9016,0.73,0.7006,0.7795,0.7098,571.9
34,0.9659,0.9022,0.7407,0.7073,0.7944,0.7204,576
35,0.9699,0.9023,0.7411,0.7136,0.7986,0.711,592.3
36,0.9651,0.9011,0.7349,0.7133,0.786,0.7054,569.7
37,0.9628,0.9017,0.7425,0.7193,0.7967,0.7115,571.4
38,0.9623,0.9018,0.7372,0.7071,0.7957,0.709,568.7
39,0.965,0.9019,0.7328,0.7053,0.7869,0.7063,567.6
